model,rev,fw_ver,fw_url,fsize,fdate,sha1,md5
DAP-1522,A,v1.40b03,ftp://files.dlink.com.au/products/DAP-1522/REV_A/Firmware/Firmware_v1.40b03/DAP1522A1_FW140b03.bin,3256448,1314964260.0,7bd21e79dd43836d2143f3af433388e4a77507af,9cfaeb49cae17435e6745b4ca17c1a51
DAP-1525,A,,ftp://files.dlink.com.au/products/DAP-1525/REV_A/Firmware/DAP1525A1_FW101b03.bin,3571852,1326213420.0,e3c6276982fc272dee135d43d71b19f6fb2bdfb5,ecc49dd8ae4c9b65f4c27de9b80dda62
DAP-1650,A,v1.03b07,ftp://files.dlink.com.au/products/DAP-1650/REV_A/Firmware/v1.03b07/DAP1650_FW103WWb07.bin,7970956,1471864320.0,2747a05f6f9f204add0e3d8a2a51b5859accb713,9babf291a67030d06360fc92988c8501
DAP-1650,A,v1.02b02,ftp://files.dlink.com.au/products/DAP-1650/REV_A/Firmware/v1.02b02/DAP1650_FW102WWb02_e1ob.bin,7831692,1399991280.0,dddbd20a8b209af506ff0d7ef6f69ca530df4e1c,d8b7c464e2d8cd071b104247a4099422
DAP-1650,A,v1.01b05,ftp://files.dlink.com.au/products/DAP-1650/REV_A/Firmware/v1.01b05/DAP1650_FW101WWb05_dbeh.bin,7807116,1384462740.0,24d7242ab81e47494b70076fe3d1a74063ca89d3,1e56ba9ca55961dabb34214bceb76be3
DAP-1665,A,v1.11b05,ftp://files.dlink.com.au/products/DAP-1665/REV_A/Firmware/Firmware_v1.11b05/DAP1665_A1_FW111B05.bin,4140084,1402596960.0,0137cdd88cdd334d39550a1c055b398054dded0c,694a38862c30766a82300cde15539ee2
DAP-1650,A,v1.01b03,ftp://files.dlink.com.au/products/DAP-1650/REV_A/Firmware/v1.01b03/DAP1650_FW101WWb03_db8g.bin,7803020,1383939300.0,fc72b82db06d9d550688dde4e1be9618f567bd02,a87bf629ce03169130bf82aefc4683b6
DAP-1665,A,v1.10b11,ftp://files.dlink.com.au/products/DAP-1665/REV_A/Firmware/Firmware_v1.10b11/DAP1665_A1_FW110B11.bin,4045876,1396892820.0,e36e4b47cdf25fcd229bbdf9150b5d753207bc55,24349827bc0e0703f4f913d2ff05eea1
DAP-1665,A,v1.00b15,ftp://files.dlink.com.au/products/DAP-1665/REV_A/Firmware/Firmware_v1.00b15/DAP1665_A1_FW100B15.bin,2997300,1385998620.0,fdab550ff13cb11248a9881cd2c9fa0eae516489,fdc81de80b76647646d954ed90857b9e
DAP-2310,B,,ftp://files.dlink.com.au/products/DAP-2310/REV_B/Firmware/Firmware_2.07rc031/DAP2310B-firmware-v207-rc031.bin,8806592,1459507080.0,2d77e6d5b90ea4681725a09132c7b6e634a74921,9ca8ab1c4219a9eec7fa8660414e76a3
DAP-2310,B,,ftp://files.dlink.com.au/products/DAP-2310/REV_B/Firmware/Firmware_2.03rc023/DAP2310B-firmware-v203-rc023.bin,8544448,1429006500.0,0bfa263a1447001a8c72e4c1b2650c5face510a3,c4d768c7be14e502a3b471143e364de8
DAP-2310,A,v1.16rc028,ftp://files.dlink.com.au/products/DAP-2310/REV_A/Firmware/Firmware_v1.16rc028/DAP-2310_Firmware_v1.16rc028.zip,6088133,1389349200.0,e620f259950a69107ab3b98d89508bcf16532478,060e317032c17c3a2951aa4d27c2d72e
DAP-2310,A,v1.15rc014,ftp://files.dlink.com.au/products/DAP-2310/REV_A/Firmware/Firmware_v1.15rc014/DAP-2310_FW_v1.15rc014.zip,5307624,1354789860.0,c663ab28c6b95b53745a8a38c80670ec2ddea70a,32623a372fa88679c17f392947ec1c2f
DAP-2360,B,v2.10.RC050,ftp://files.dlink.com.au/products/DAP-2360/REV_B/Firmware/Firmware_v2.10.RC050/DAP2360b-firmware-v210-rc050.bin,10285248,1474570080.0,a4a8bc4d91d1e71eabe8d2e45359c03a9c440d79,117cf5a1698615d14ff26e83434f9401
DAP-2360,B,v2.06.RC036,ftp://files.dlink.com.au/products/DAP-2360/REV_B/Firmware/Firmware_v2.06.RC036/DAP2360b-firmware-v206-rc036.bin,8929472,1436465400.0,8278e49132a8a5059500730a856b7c56db87ab95,d95f03048bb65a2573ef341586446826
DAP-2360,B,v2.05.RC031,ftp://files.dlink.com.au/products/DAP-2360/REV_B/Firmware/Firmware_v2.05.RC031/DAP2360b-firmware-v205-rc031.bin,8917184,1434125640.0,e2995e0db6f25fe9d2478dc1f58c98d85919be00,fc63424b892324ca9fb93e3b957f108f
DAP-2360,B,v2.01.RC012,ftp://files.dlink.com.au/products/DAP-2360/REV_B/Firmware/Firmware_v2.01.RC012/DAP2360b-firmware-v201-rc012.bin,8167616,1412353680.0,d4078d0b4490ae5e663b7212ee24ddd99aa64776,0c7c8c5ced43198bf12e9a1882496635
DAP-2360,A,v2.01.RC012,ftp://files.dlink.com.au/products/DAP-2360/REV_A/Firmware/Firmware_1.10rc041/DAP-2360_A1_FW_v110rc041.zip,5438480,1352118660.0,59ff32ddc6eabf459bd91837dcd6eb092a4257ef,5b06b6f0933f4f3e2a27a173d758b6c1
DAP-2360,A,v2.01.RC012,ftp://files.dlink.com.au/products/DAP-2360/REV_A/Firmware/Firmware_1.00rc016/DAP2360-firmware-v100-rc016.zip,4517763,1309953240.0,c966c2b41a78c21e15528e5cb51bdded47e869d0,d54b30637c3a2c66fd02a6b6abfa440b
DAP-2590,A,v2.02,ftp://files.dlink.com.au/products/DAP-2590/REV_A/Firmware/Firmware_1.20rc039/DAP-2590-firmware-v1.20-rc039.bin,6611136,1314960600.0,1b515a9213763dd91d4dd907ccb507a60a679d01,99431c8aa447e11a3fa21da011651d95
