model,rev,fw_ver,fw_url,date,fsize,sha1,md5
DWA-548,,2.00,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR1300444&fileName=DWA-548%20B1%2020130624.7z&fileSize=70313.0;1.7206801E7;,2014-06-05 00:00:00,17206801,db114f6711b7089c6521451652bd7b772d7bd23c,fd3666912f218a93d9adc595e9a94641
DWA-547,,1.20,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR0700335&fileName=DWA-547_v1.20.rar&fileSize=67072.0;2.0988703E7;,2014-06-05 00:00:00,20988703,90de65906b5afad6220447699b82f0a2e7e7f511,49ce7694120d136057a930747d51d8cb
DWA-566,,1.02,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR1200325&fileName=20120509_DWA-566_S0018_RUSSIA.zip&fileSize=148743.0;1.7751238E7;,2014-06-05 00:00:00,17751238,866b10cd72154d128374ba042203f605ae3b9c78,0ce38a0b6bb26cab5642a95e45e8cd3c
DWA-610,,1.40,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR0900385&fileName=DWA-610_A1_v1.40s0021_WW.zip&fileSize=71680.0;1.3186671E7;,2014-06-05 00:00:00,13186671,5cd69889904d09942a9faad881cd74c2132ac965,d6c9ddb2d5e4d4b5239de5335e8a625e
DWL-2000AP A,,,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR1200101&fileName=DWL2000AP+AC1_FW301CNb02.bin&fileSize=36741.0;2490420.0;,2014-06-05 00:00:00,2490420,7d7457e7f72c57099c9ebe86295daa0177beaf68,fd1fb6751f0fc949493a602dab7f64bc
DWA-182,,1.03,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR1500015&fileName=Setup.exe&fileSize=5.2828056E7;4.2654575E7;110861.0;,2015-02-13 00:00:00,52828056,714c2867a0a117aea285365f06c579e78ec341f3,51d6b8f4bae364eb8981109cf107004b
DWA-643,,2.20,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR0900470&fileName=DWA-643_A1_Utility_v2.20(E)b01.rar&fileSize=70144.0;1.899431E7;,2014-06-05 00:00:00,18994310,62c376aaa9da2b4e65cf67c95e948caf005c3fce,05b1c61cde446c47f0f925b3b4f59893
DWA-548,,2.01,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR1500626&fileName=DWA-548%20B1%20FW%20v2.01.zip&fileSize=17250.0;3.3088E7;,2015-12-17 00:00:00,33088000,2efc9ec21d1b22ac79ede7ee035029ff28d147fd,41a3fb122ff17f14005474e4b5d47644
DWA-645,,1.60,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR0900443&fileName=DWA-645_A2A3_Utility_v1.60(E)b05.rar&fileSize=68608.0;1.8951522E7;,2014-06-05 00:00:00,18951522,8a9db0c7f318dcc01f31fdf62e9ee17de126d753,987743fe336cd45b394b7d5ab2e23675
DWL-7700AP,,3.10,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR0700100&fileName=DWL7700AP-firmware-v310-r0112.tfp&fileSize=132812.0;2163960.0;66398.0;,2014-06-05 00:00:00,2163960,2993b610c1ad68a4022cf7cf9aab142855ce16d3,bff1f8080a1007cff74057cd5b575014
