model,fver,fname,furl,fdate,fsize,sha1,md5
MAX218M1W,2.00(UXE.3)D0,MAX218M1W_2.00(UXE.3)D0.zip,ftp://ftp2.zyxel.com/MAX218M1W/firmware/MAX218M1W_2.00(UXE.3)D0.zip,2012-04-09 00:00:00,12690668,0b5dc5d8b5f28d3f052d8626e24cdcd4a9376a88,dea76f0f4069118056c8487ba5b2a70c
MAX218M2W,2.00(UUB.1)D0,MAX218M2W_2.00(UUB.1)D0.zip,ftp://ftp2.zyxel.com/MAX218M2W/firmware/MAX218M2W_2.00(UUB.1)D0.zip,2011-05-03 00:00:00,9912836,d849cc311083737b66a120911c3c0b6064b710c1,3d4831e03ea815d6b178ba3582d26829
MAX218MW,2.00(UXD.2)D0,MAX218MW_2.00(UXD.2)D0.zip,ftp://ftp2.zyxel.com/MAX218MW/firmware/MAX218MW_2.00(UXD.2)D0.zip,2012-04-09 00:00:00,12696038,f3b0d2b3bf71f0188262bc5103cd479689bd69b9,85a470768ebaee55ce75df2d3b84de38
MAX308M,2.00(UUA.3)D0,MAX308M_2.00(UUA.3)D0.zip,ftp://ftp2.zyxel.com/MAX308M/firmware/MAX308M_2.00(UUA.3)D0.zip,2011-11-01 00:00:00,12567951,afdc1a1a7eaf10b8825c776668f76db9555233ac,7710827285fc39380260b9ebcbae2662
MGS3520-28,410AATN1C0,MGS3520-28_410AATN1C0.zip,ftp://ftp2.zyxel.com/MGS3520-28/firmware/MGS3520-28_410AATN1C0.zip,2016-07-28 00:00:00,3677372,1b10410e81f728e8ab427446a03e3a318f1e916c,63c55a71e710d0547908d658c376412d
MGS3700-12C,3.91(AAFX.0)C0,MGS3700-12C_3.91(AAFX.0)C0.zip,ftp://ftp2.zyxel.com/MGS3700-12C/firmware/MGS3700-12C_3.91(AAFX.0)C0.zip,2015-08-31 00:00:00,3420177,66834dafb6ec51e0b8918dd73dbe3273cce4999a,10b4ace4e56e679281a13ab12d9715f2
NBG334S,3.60(AMP.0)C0,NBG334S_3.60(AMP.0)C0.zip,ftp://ftp2.zyxel.com/NBG334S/firmware/NBG334S_3.60(AMP.0)C0.zip,2007-10-02 00:00:00,1426516,97464268b6b1860f8f5e48e147b1aa903e1b24dc,7172b7a11e17aa8b85e93a2cf69c4ab7
NSG100,1.00(ABEA.0)C0,NSG100_1.00(ABEA.0)C0.zip,ftp://ftp2.zyxel.com/NSG100/firmware/NSG100_1.00(ABEA.0)C0.zip,2016-09-07 00:00:00,77326616,a08bca39e9013063ad09b67b165699b6c937fa02,35684f4d34790797f728e94d9736b9e8
NWA1123-ACv2,v4.26(ABEL.0)C0,NWA1123-ACv2_v4.26(ABEL.0)C0.zip,ftp://ftp2.zyxel.com/NWA1123-ACv2/firmware/NWA1123-ACv2_v4.26(ABEL.0)C0.zip,2016-07-11 00:00:00,14800986,d090594d3fc3176eaf7f3973012b4971b8b26d1b,893d5f3446594f639dfc7ad44d2bbc59
OMC-2301,3.60(ARH.0)C0,OMC-2301_3.60(ARH.0)C0.zip,ftp://ftp2.zyxel.com/OMC-2301/firmware/OMC-2301_3.60(ARH.0)C0.zip,2008-01-07 00:00:00,2286894,c5db5d25d6ead9df64761e94ee3f025f1d7846e9,d948880e89770436e109d96601a3d4d6
P-202H Plus v2,3.40(AND.0)C0,P-202H Plus v2_3.40(AND.0)C0.zip,ftp://ftp2.zyxel.com/P-202H_Plus_v2/firmware/P-202H Plus v2_3.40(AND.0)C0.zip,2006-10-14 00:00:00,1332021,e2503ec65fc01dc38f07e22788a1eade18cc8631,10466e3ddec14cdcea2d760697747eae
P-2302R-P1C,3.60(AUG.0)C0,P-2302R-P1C_3.60(AUG.0)C0.zip,ftp://ftp2.zyxel.com/P-2302R-P1C/firmware/P-2302R-P1C_3.60(AUG.0)C0.zip,2007-04-27 00:00:00,1748417,1651bd15c7ab2b1e7b889ce05377c86f7a79aac8,10ee79e2ef7684370bcecaa625d5a518
P-2601HNL-F1,3.10(TSF.1)C0,P-2601HNL-F1_3.10(TSF.1)C0.zip,ftp://ftp2.zyxel.com/P-2601HNL-F1/firmware/P-2601HNL-F1_3.10(TSF.1)C0.zip,2011-04-20 00:00:00,11422291,ace6e47cd9d76505eb0e73822b2eb5ce7771a5b2,7dce14933fbfadec2ca86d0caa633dd1
P-2612HNU-F3F,3.10(ULH.1)C0,P-2612HNU-F3F_3.10(ULH.1)C0.zip,ftp://ftp2.zyxel.com/P-2612HNU-F3F/firmware/P-2612HNU-F3F_3.10(ULH.1)C0.zip,2011-03-18 00:00:00,11812893,4fba988409beabea8a6c175c95e26d53fe480993,97f57131ebdf8b3fa48ad12a66dc3425
P-2612HNUL-F1F,3.10(BLX.1)C0,P-2612HNUL-F1F_3.10(BLX.1)C0.zip,ftp://ftp2.zyxel.com/P-2612HNUL-F1F/firmware/P-2612HNUL-F1F_3.10(BLX.1)C0.zip,2011-03-18 00:00:00,11826206,f4ffc3485c4dabfddbaf1bde40ea5a29c1e398f3,6d890a491a6c9cc035ec65dc4065b0ff
P-2812HNU-F3,3.10(TUS.0)C0,P-2812HNU-F3_3.10(TUS.0)C0.zip,ftp://ftp2.zyxel.com/P-2812HNU-F3/firmware/P-2812HNU-F3_3.10(TUS.0)C0.zip,2011-08-11 00:00:00,16021783,cf302db9708ccd768781ac825e784ed34e61bbd2,4bcec59437bacad7826d9b2b3c7f56da
P-314Plus,3.60(CX.1)C0,P-314Plus_3.60(CX.1)C0.zip,ftp://ftp2.zyxel.com/P-314Plus/firmware/P-314Plus_3.60(CX.1)C0.zip,2002-10-31 00:00:00,1296928,20f1a9347a2f1247e79af74937cf4e4833f34d3e,d9f633261716d07124c5d7fd5f7e0999
P-334U,3.60(JX.0)C0,P-334U_3.60(JX.0)C0.zip,ftp://ftp2.zyxel.com/P-334U/firmware/P-334U_3.60(JX.0)C0.zip,2006-07-03 00:00:00,1494607,0e66c18d9a7674cb06339dde020b57c58b0acd56,252073aae5a6a71a9317d25c965a5599
P-334W,3.60(JK.4)C0,P-334W_3.60(JK.4)C0.zip,ftp://ftp2.zyxel.com/P-334W/firmware/P-334W_3.60(JK.4)C0.zip,2007-01-17 00:00:00,1746049,36eae55b5ff42b320dcecdaae539ad26969abef4,a41a06902d855d189bd0a67e9148b760
P-334WHD,3.60(AMA.0)C0,P-334WHD_3.60(AMA.0)C0.zip,ftp://ftp2.zyxel.com/P-334WHD/firmware/P-334WHD_3.60(AMA.0)C0.zip,2006-10-14 00:00:00,1544763,a7b6f4b1a7e2756d25202508221607d4614f7b59,94089a3b251d01e24b6eec29d99c1f7a
P-660HN-F1,370(BJC0)C0,P-660HN-F1_370(BJC0)C0.rar,ftp://ftp2.zyxel.com/P-660HN-F1/firmware/P-660HN-F1_370(BJC0)C0.rar,2008-10-28 00:00:00,2458277,d7299a654836e7ddb272d99a0c1d2f93815ca02f,9cdac3c68fe13281e210f10a833c8530
P-660HN-F1A,3.70(BOY.0)C0,P-660HN-F1A_3.70(BOY.0)C0.zip,ftp://ftp2.zyxel.com/P-660HN-F1A/firmware/P-660HN-F1A_3.70(BOY.0)C0.zip,2010-03-26 00:00:00,1812529,6ddd36bede85b6c4511f4c61c84728ef298bab88,eefe33227bd66e222ec5d98ea2e1a849
P-660HN-T1H,3.40(BYH.0)C1,P-660HN-T1H_3.40(BYH.0)C1.rar,ftp://ftp2.zyxel.com/P-660HN-T1H/firmware/P-660HN-T1H_3.40(BYH.0)C1.rar,2010-09-29 00:00:00,1370739,390061035ff6edd36010ef83a1acc08557d65abe,2b72651df20ff65facccb25c4f799bb4
P-660HU-T1,1.02(VBP.1)C0,P-660HU-T1_1.02(VBP.1)C0.zip,ftp://ftp2.zyxel.com/P-660HU-T1/firmware/P-660HU-T1_1.02(VBP.1)C0.zip,2012-05-17 00:00:00,6088668,3dcf043ad61b3375091cec90e9e5d86d9afc12a2,ddc821cd35d618902ff1a1159daf780a
P-660HW-D1 v2,3.40(ATA.0)C0,P-660HW-D1 v2_3.40(ATA.0)C0.zip,ftp://ftp2.zyxel.com/P-660HW-D1_v2/firmware/P-660HW-D1 v2_3.40(ATA.0)C0.zip,2007-04-26 00:00:00,1523262,5a7d84ca30d5cc476647ae4f3cbb9614686cadb3,59764c57a2d46d29baaa0a63b28efdbe
P-660N-T1A,3.40(BYI.0)C0,P-660N-T1A_3.40(BYI.0)C0.rar,ftp://ftp2.zyxel.com/P-660N-T1A/firmware/P-660N-T1A_3.40(BYI.0)C0.rar,2010-11-30 00:00:00,1430165,90c8af5b01bf6527d5f32aa58640d0c291d4bb87,aa497cbb5436bc9232b3d6ea2ca5dbe5
P-660R-61,3.40(QG.7)C0,P-660R-61_3.40(QG.7)C0.zip,ftp://ftp2.zyxel.com/P-660R-61/firmware/P-660R-61_3.40(QG.7)C0.zip,2006-11-28 00:00:00,1368701,980bdbe5c459fbf59613e814a5690768f048a260,7f6bd7f4c4a6f58c5a1bd3a71e0466cd
P-660R-T1 v3,V3.40(BJG.0)C0,P-660R-T1 v3_V3.40(BJG.0)C0.rar,ftp://ftp2.zyxel.com/P-660R-T1_v3/firmware/P-660R-T1 v3_V3.40(BJG.0)C0.rar,2008-10-27 00:00:00,989178,bc84d42a4086c052de6e04952fc10b2d4bb90080,c1dda2dd61533441fe0c93b320705ca2
P-660R-T1 v3s,A0101AA4C0,P-660R-T1 v3s_A0101AA4C0.zip,ftp://ftp2.zyxel.com/P-660R-T1_v3s/firmware/P-660R-T1 v3s_A0101AA4C0.zip,2011-03-18 00:00:00,1266503,edbfa77b314af1f666ae2424e6b09374c47b8f66,f16fbfd7d186ca9953195bc700ad49c3
P-660R-T3 v3,3.40(BOQ.0)C0,P-660R-T3 v3_3.40(BOQ.0)C0.zip,ftp://ftp2.zyxel.com/P-660R-T3_v3/firmware/P-660R-T3 v3_3.40(BOQ.0)C0.zip,2009-07-03 00:00:00,1020799,6c0d207aed68e445955bc652291572884c5dbed5,fae26e91c52220aa7de843b4a8bf5912
P-660RU-T1 v3,3.40(BJR.0)C0,P-660RU-T1 v3_3.40(BJR.0)C0.zip,ftp://ftp2.zyxel.com/P-660RU-T1_v3/firmware/P-660RU-T1 v3_3.40(BJR.0)C0.zip,2009-03-12 00:00:00,986664,e05497753a48cbcea19b7ce6d3107c963cc60b35,7b1ad0c18789016e3e69985e6ebd4ce7
P-660RU-T3 v2,3.40(APV.0)C0,P-660RU-T3 v2_3.40(APV.0)C0.zip,ftp://ftp2.zyxel.com/P-660RU-T3_v2/firmware/P-660RU-T3 v2_3.40(APV.0)C0.zip,2007-02-26 00:00:00,1072006,6b7da4cda32f9c9b6edbcf29b6e086803ea66fa5,cd1bdffd02d3238a2fbe77b10111f20c
