model,rev,fw_ver,fw_url,fsize,fdate,sha1,md5
DAP-1520,A,1.09.B01_BETA04,ftp://FTP2.DLINK.COM/PRODUCTS/DAP-1520/REVA/DAP-1520_REVA_FIRMWARE_PATCH_1.09.B01_BETA04.ZIP,4549963,1474387740.0,458c07262a7c2a4d544ede9aa17d6bb57f6ce647,53c04f8fa02b716ab17e47aeb4318d12
DAP-1520,A,1.06.B04,ftp://FTP2.DLINK.COM/PRODUCTS/DAP-1520/REVA/DAP-1520_REVA_FIRMWARE_1.06.B04.ZIP,4381249,1442275200.0,31dc155e29ff4175edccbcd95bbd0638f6a81ef8,ee7d72d760ff08d9760dd4c91e0c35c0
DAP-1520,A,1.04.B02,ftp://ftp2.dlink.com/PRODUCTS/DAP-1520/REVA/DAP-1520_REVA_FIRMWARE_1.04B02.ZIP,4380813,1414972800.0,59abd847a38b4c887be36098c57c0dc1e1603b4b,96f4cecc59e3a6e42f50b60c56671616
DAP-1520,A,1.02.B04,ftp://ftp2.dlink.com/PRODUCTS/DAP-1520/REVA/DAP-1520_REVA_FIRMWARE_1.02B04.ZIP,4498913,1414972800.0,2bc8620044793cc05be79230ff67cbd70da6a08b,1dcb5cd14f08a68dc6c92f63353fe7ed
DAP-1520,A,1.05.B02,ftp://ftp2.dlink.com/PRODUCTS/DAP-1520/REVA/DAP-1520_REVA_FIRMWARE_1.05.B02.ZIP,4438675,1416355200.0,c8efaf179c9484a51c97ec732546794e7fad790d,2a526bf74600d73afd532c6f02de062b
DAP-1520,A,1.00.B21,ftp://ftp2.dlink.com/PRODUCTS/DAP-1520/REVA/DAP-1520_REVA_FIRMWARE_1.00.B21.ZIP,4262172,1391817600.0,0da9ac26d2d5c7c11063ca02b747c28029f5f278,2c047cf0bd63d453a519f04224b801f4
DAP-1522,A,1.42B01,ftp://FTP2.DLINK.COM/PRODUCTS/DAP-1522/REVA/DAP-1522_REVA_FIRWARE_1.42.B01.ZIP,3299580,1425600000.0,235d9cd74d2ec5edb21df452d818ce3359e968c5,a7ca6073db2826d07c80ff8e1f43eae2
DAP-1522,A,1.40,ftp://FTP2.DLINK.COM/PRODUCTS/DAP-1522/REVA/DAP-1522_FIRMWARE_1.40.ZIP,3221447,1414972800.0,4398fde214f9f0327048913adb6aaa5c0ed09963,b832351957f5e99b5d38182c6cda33aa
DAP-1522,A,1.31,ftp://FTP2.DLINK.COM/PRODUCTS/DAP-1522/REVA/DAP-1522_FIRMWARE_1.31.ZIP,3102519,1373500800.0,a188eb12966a7d5eeb41124fbf8670aef614f70d,d479d1c12a3981fb8ec3b17b1a217355
DAP-1522,A,1.41,ftp://FTP2.DLINK.COM/PRODUCTS/DAP-1522/REVA/DAP-1522_FIRMWARE_1.41.ZIP,3217310,1414972800.0,2cd88d5a3c8b55439d271ecf2bca306bc4e4ced1,5f920694037b6a3cc222047d086e0fa6
