model,fver,fname,furl,fdate,fsize,sha1,md5
W6_US,V1.0.0.1(353)_CN,US_W6_USV1.0RTL_V1.0.0.1(353)_CN&EN_TDE01.rar,http://down.tendacn.com/uploadfile/2017/Firmware/US_W6_USV1.0RTL_V1.0.0.1(353)_CN&EN_TDE01.rar,2016-12-27 07:35:17+00:00,2640861,51ea4a8f50fe2dbbc7a5b63dcf8c3d279eeea253,0d2e3233726bba31d171fbfcbf151cd2
FH330,Firmware,US_FH330V3.0BR_V11.13.01.04_en_TDE.rar,http://down.tendacn.com/uploadfile/201401/FH330/US_FH330V3.0BR_V11.13.01.04_en_TDE.rar,2016-03-04 03:28:27+00:00,880742,d8ab05519104bb905d03a73aded5d81ce41322f5,f3ff7e05639b57b5ce6568ee4b0212b6
FH456V2.0,V11.13.01.09_EN,US_FH456V2.0BR_V11.13.01.09_en_TDE01.rar,http://down.tendacn.com/uploadfile/201401/FH456/US_FH456V2.0BR_V11.13.01.09_en_TDE01.rar,2016-03-03 08:39:16+00:00,1011487,5b810302c684b531b4b91a29677760fa4daffcf2,357b7337650c472fa6fe7abaa0961bfb
AP4,V1.0.0.12(3916)_EN,CE Version US_AP4V1.0BR_V1.0.0.12(3916)_TDE01.rar,http://down.tendacn.com/uploadfile/AP4/CE Version US_AP4V1.0BR_V1.0.0.12(3916)_TDE01.rar,2016-07-19 08:26:07+00:00,3842225,83ad6e623d303e17c9f12d412d8c85bef93f4a68,6bd3057327688a20ed8bfb11d54eb700
FH456V1.0,V11.11.01.07_EN,US_FH456V1.0br_V11.11.01.07_en.rar,http://down.tendacn.com/uploadfile/201401/FH456/US_FH456V1.0br_V11.11.01.07_en.rar,2016-03-03 08:38:53+00:00,880738,ce8a557be8d496eef9fb87d15311544cb95dffbc,d992527b28039a495ff4ec0933abe90e
i6,V1.0.0.9(3857)_EN,CE Version_US_i6V1.0BR_V1.0.0.9(3857)_TDE01.rar,http://down.tendacn.com/uploadfile/I6/CE Version_US_i6V1.0BR_V1.0.0.9(3857)_TDE01.rar,2016-07-19 08:50:49+00:00,3649711,d5b514274aef022fb86a091fef4037851585759d,43c96f494916dc774082c91ea2c36ca3
W6,V1.0.0.8(3827)_EN,US_W6V1.0BR_V1.0.0.8(3827)_TDE01.rar,http://down.tendacn.com/uploadfile/W6/US_W6V1.0BR_V1.0.0.8(3827)_TDE01.rar,2016-07-19 09:05:45+00:00,3649700,8620bf48bac33c6cd2a2bd3797e88f4bab11743d,e983c2b6a71eb21cd6099ee7083fe2c3
W312A,V2.0.0.3(1330)_EN,US_W312AV1.0BR_V2.0.0.3(1330)_EN_TDE.rar,http://down.tendacn.com/uploadfile/201401/W312A/US_W312AV1.0BR_V2.0.0.3(1330)_EN_TDE.rar,2016-03-29 07:10:18+00:00,3768488,64652c50a7125c419e06f0a8172b08a3a1d40a85,c8397c61d8507920253e2db07245f716
PW201A,V1.1.2.2_en_US,US_PW201ABr_V1.1.2.2_en_US.rar,http://down.tendacn.com/uploadfile/2017/Firmware/US_PW201ABr_V1.1.2.2_en_US.rar,2017-01-04 06:21:07+00:00,4022366,c2d7f1017580117e9fb407d95d699c547a7a62e0,71852b6d1c341f0e647b9dedab32caf3
PW201A,V1.1.2.2_en_EU,US_PW201ABr_V1.1.2.2_en_EU.rar,http://down.tendacn.com/uploadfile/2017/Firmware/US_PW201ABr_V1.1.2.2_en_EU.rar,2017-01-04 06:21:19+00:00,4022366,8cefc00f4915af00c53327fd33e431ee6c4e51fc,00b5c2db1ec132c734d3f39bbdba1cde
i12,V1.0.0.11(3862)_EN,CE Version US_i12V1.0BR_V1.0.0.11(3862)_TDE01.rar,http://down.tendacn.com/uploadfile/I12/CE Version US_i12V1.0BR_V1.0.0.11(3862)_TDE01.rar,2016-07-19 08:56:21+00:00,3649713,f263c09be49f09fd8005484a0740f318dd9be654,7dbb791144b7a4bd767b2b2c1f516cca
4G600,V1.0.0.25_EN,US_4G600V1Ra_V1.0.0.25_EN.rar,http://down.tendacn.com/uploadfile/201401/4G600/US_4G600V1Ra_V1.0.0.25_EN.rar,2016-03-11 06:08:23+00:00,2694524,69f5b7deb34662bfb92abd0fc406b9c74a786871,6d403837b6c9d1e665295375ace4156e
AP4,V1.0.0.5(3920)_EN,FCC Version US_AP4V1.0BR_V1.0.0.5(3920)_TDE01.rar,http://down.tendacn.com/uploadfile/AP4/FCC Version US_AP4V1.0BR_V1.0.0.5(3920)_TDE01.rar,2016-07-19 08:25:45+00:00,3837794,d1d46795b77780546cecd301327d55ec9acec10a,a6bc9864bf0532a0b50faaed462a32fe
PA6,V1.0.1.11_EN,US_PA6V1.0br_V1.0.1.11_multi_TDE01.rar,http://down.tendacn.com/uploadfile/2017/Firmware/US_PA6V1.0br_V1.0.1.11_multi_TDE01.rar,2017-01-04 05:44:03+00:00,4037044,7e3a5e28113e5f2a9fbe7988b131af059ddef4bc,1c8c26acd31a78db9213311bac288845
i6,V1.0.0.8(3856)_EN,FCC Version US_i6V1.0BR_V1.0.0.8(3856_TDC01.rar,http://down.tendacn.com/uploadfile/I6/FCC Version US_i6V1.0BR_V1.0.0.8(3856_TDC01.rar,2016-07-19 08:51:01+00:00,3649711,7569e50c575fb2ccd42f51df509a18f4a9e32b4e,a398de844340155cd34bac1793912cd0
AP5,V1.0.0.12(3916)_EN,CE Version US_AP5V1.0BR_V1.0.0.12(3916)_TDE01.rar,http://down.tendacn.com/uploadfile/AP5/CE Version US_AP5V1.0BR_V1.0.0.12(3916)_TDE01.rar,2016-07-19 08:41:46+00:00,3842225,f9377ab0eeeb5cd490e587ca7a603c02c16a6471,ff3c0160a3a4b9d5f599de84af5060f2
P1001P,V3.1.8,US_P1001PBr_V3.1.8_US.rar,http://down.tendacn.com/uploadfile/201401/P1001/US_P1001PBr_V3.1.8_US.rar,2015-08-17 09:28:44+00:00,335958,6dd52bc6d6417d01eff6fbbb1fdceee37d309e0a,72f4841b962c36c08ee959f27aa9bb2a
AP5,V1.0.0.9(2224)_EN,US_AP5V1.0BR_V1.0.0.9(2224)_EN_TDE01.rar,http://down.tendacn.com/uploadfile/201401/AP5/US_AP5V1.0BR_V1.0.0.9(2224)_EN_TDE01.rar,2016-03-29 07:07:26+00:00,3825681,11a7971015d97fe22a38880fca738a7c084b52c4,58a7877e73b68ddea9cdc610a674c28a
