model,hw_rev,fver,furl,fdate,fsize,sha1,md5
EA6500,1.0,1.1.29,http://downloads.linksys.com/downloads/firmware/1224694327753/FW_EA6500_1.1.29.162351_prod.SSA,2014-10-28 18:59:24+00:00,15782543,06ec745c2f7577a7c922b6eb81cd81e733e0a956,8e0bbb275331a60d48e45ad2af0e02ab
EA2700,1.0,1.1.40,http://cache-www.belkin.com/support/dl/FW_EA2700_1.1.40.166516_prod.img,2015-06-03 02:07:41+00:00,13680896,d326d872d95348493390992f1d206bfcd0471bf1,db7b576013dc519213ab6b71d23323d4
EA6350,3.0,3.1.4.175257,http://downloads.linksys.com/downloads/firmware/FW_EA6350v3_3.1.4.175257_prod.img,2016-09-07 07:01:19+00:00,25952256,30640bb4b09fa727c18a5c5cb5c3d728e942d15a,51331219974c163e65967bde5a048bdd
EA6350,1.0,1.0.4,http://cache-www.belkin.com/support/dl/FW_EA6350-1.0.4.164719_prod.img,2015-09-23 06:48:56+00:00,14520576,a9c878acfc7f1168abc449e4ec4fc24834fa078d,16d79173be9033b4d099c1c2069f8d7c
EA6200,1.0,1.1.41,http://downloads.linksys.com/downloads/firmware/1224698796855/FW_EA6200_1.1.41.164830_prod.img,2015-01-28 04:00:24+00:00,14577920,d22d8c0f47b982773ad872317fa429730e6c419a,c7c84b418ed5132fba90439144d0bcf6
EA6300,1.0,1.1.40,http://downloads.linksys.com/downloads/firmware/FW_EA6300_1.1.40.176337_prod.img,2016-11-07 02:27:02+00:00,16228608,e46e13f5d98c74291aebcb7c2c51432cb54ec776,d9701454738f0023e79f8b747b2e7097
EA6700,1.0,1.1.40,http://downloads.linksys.com/downloads/firmware/FW_EA6700_1.1.40.176451_prod.img,2016-11-16 01:45:18+00:00,16228608,9df818af69de20627009c431c2b8b322cabe0930,8a4d18e22363e3c7974d5165e9dfd09d
EA6900,1.0,1.1.42,http://downloads.linksys.com/downloads/firmware/FW_EA6900_1.1.42.174776_prod.img,2016-09-08 06:49:47+00:00,16187648,84809600fb3b3369c9ee430298b381a217793e9e,2abeadab8cf72bc3facff84ee9bb9850
EA8500,Other Regions,1.1.4.173728,http://downloads.linksys.com/downloads/firmware/FW_EA8500_1.1.4.173728_prod.img,2016-07-07 05:30:02+00:00,23461888,64d7c5ddd330fa6596e3792c1095aca81120ec00,23613b9fb16d2b56c5f26b4bcaba4083
EA7400,1.0,1.1.1.173076,http://downloads.linksys.com/downloads/firmware/FW_EA7400_1.1.1.173076_prod.gpg.img,2016-06-14 05:32:40+00:00,21139084,98e31e4f899c3cd2b6ddae3a6e26a8d91a55c8fe,cc05897fb770d0559a47ae9d5b37f998
EA9400,1.0,1.0.3.175250,http://downloads.linksys.com/downloads/firmware/FW_EA9400_1.0.3.175250_prod.gpg.img,2016-08-25 05:59:35+00:00,19192880,1350942fe4bcc193af22e4c5549fed0f2c6b832e,2de34bc901949682da4c9164893640ab
EA6100,Other Regions,1.1.6,http://downloads.linksys.com/downloads/firmware/FW_EA6100_1.1.6.173444_prod.img,2016-06-23 04:23:30+00:00,25035008,83dc2693d1bcf163a4e19931005ee6d4591396e8,62bf3d269ba8f0d826d215c35d392a29
EA7400,1.0,1.1.1.173076,http://downloads.linksys.com/downloads/firmware/FW_EA7400_1.1.1.173076_prod.img,2016-06-14 05:28:49+00:00,23461888,e0e12760e41909bf99593594ac481749f428b504,0ab00510d5edec3f72a88356df7fad6d
EA9200,1.0,1.1.7,http://downloads.linksys.com/downloads/firmware/FW_EA9200_1.1.7.172584_prod.img,2016-06-01 07:22:50+00:00,17178880,69ced4657ac41c949a7360bebd962c6ac69d47c8,d9d7ebfb54b769c64d925c7297c7674b
E8350,1.0,1.0.01,http://cache-www.belkin.com/support/dl/FW_E8350_1.0.01.037_20151012.bin,2015-11-05 02:09:21+00:00,33409072,75f018be666c47784807511b98f5dbdee5f33f0c,b75dbdb449a0fd21f2d7ac6d22fc7e81
E8400,1.0,1.0.00.012,http://downloads.linksys.com/downloads/firmware/FW_E8400_1.0.00.012_20160629.bin,2016-07-14 01:09:26+00:00,34603056,67be891998156005ac68f6a012318d437f918e83,fd81c28169476e789e2d53cd2eb7dc2e
EA6400,1.0,1.1.40,http://downloads.linksys.com/downloads/firmware/FW_EA6400_1.1.40.176337_prod.img,2016-12-19 06:13:51+00:00,16228608,e46e13f5d98c74291aebcb7c2c51432cb54ec776,d9701454738f0023e79f8b747b2e7097
EA6500,2.0,1.1.40,http://downloads.linksys.com/downloads/firmware/FW_EA6500v2_1.1.40.176451_prod.img,2016-11-16 01:43:34+00:00,16228608,9df818af69de20627009c431c2b8b322cabe0930,8a4d18e22363e3c7974d5165e9dfd09d
EA9400,1.0,1.0.2.174688,http://downloads.linksys.com/downloads/firmware/FW_EA9400_1.0.2.174688_prod.img,2016-08-03 02:47:34+00:00,19140864,f929090840862a63b2e894cd038fab4630c14e2a,a8bb29ccf828cf0eee0254c1b46cff71
EA9200,1.0,1.1.9,http://downloads.linksys.com/downloads/firmware/FW_EA9200_1.1.9.176400_prod.gpg.img,2016-11-08 02:30:12+00:00,17491138,2953342f0659f5f16c4cf6670bc698501fd44640,a817801e1c2faad6b4951896b332d734
EA9500,1.1,1.1.7.175339,http://downloads.linksys.com/downloads/firmware/FW_EA9500_1.1.7.175339_prod.gpg.img,2016-10-12 06:34:38+00:00,19202184,b9355a60b7aaaab656ad310a2287fc693eb7f28d,5fe46ca43c799b31a4c37cae7677190a
EA7500,1.0,1.1.2.172843,http://downloads.linksys.com/downloads/firmware/FW_EA7500_1.1.2.172843_prod.gpg.img,2016-06-08 02:03:08+00:00,21136962,c89871df8ce48ddd3b279233e6c659a2fddfd452,993a561efe60d9b26fe08d8e409a7eb4
EA8500,US,1.1.4.173728,http://downloads.linksys.com/downloads/firmware/FW_EA8500_1.1.4.173728_prod.gpg.img,2016-07-07 05:29:34+00:00,21204128,ea54385c96422958d2e6aabdeac38553a8dcf2e6,4fa791cc009440af4757528018518105
EA8500,US,1.1.4,http://cache-www.belkin.com/support/dl/FW_EA8500_1.1.4.169978_prod.img,2016-01-12 02:16:35+00:00,23199744,3c2cbd32e76be096244914f0fc2105c23f8ce78c,4eb67d3af136b296a22d32e2da874ae7
EA7500,1.0,1.1.2.172843,http://downloads.linksys.com/downloads/firmware/FW_EA7500_1.1.2.172843_prod.img,2016-06-08 02:05:52+00:00,23461888,12ccf429377349274fbca2064674e0db15c5ccfd,30a9f6641d4b8ab266764f756fecede7
EA7300,1.0,1.0.6.176532,http://downloads.linksys.com/downloads/firmware/FW_EA7300_1.0.6.176532_prod.img,2016-10-31 01:33:26+00:00,32506112,850f2944ca94ebc035e99dbd6a1f51c615f75636,6f7028372b932d073783fc3ada1f823a
EA9500,1.1,1.1.7.175339,http://downloads.linksys.com/downloads/firmware/FW_EA9500_1.1.7.175339_prod.img,2016-10-12 06:49:37+00:00,19165440,4dbd1252ba6ff61250df1fb7eb0894fb8d3ad046,74d48f08cfe4fd9f6d2dc5de335420b9
LAPAC1200,1.0,1.1.01.000,http://downloads.linksys.com/downloads/firmware/FW_LAPAC1200_LAPAC1750_1.1.01.000.img,2016-07-28 04:47:51+00:00,7381008,43e93ca7e64117c450ac05db6a528f56b96b2af0,02e7bf3983af1caf98440d6ebd467d3b
LAPN300,1.0,1.0.16.002,http://downloads.linksys.com/downloads/firmware/FW_LAPN300_LAPN600_1.0.16.002.img,2016-07-19 02:17:00+00:00,6537232,24360925e44e193d04e9617790693cb3cd8a81a8,96e53d55f5261baa4f002c3b70860322
