model,fver,fname,furl,fdate,fsize,sha1,md5
ipTIME N104plus,9.98.4,n104p_kr_9_984.bin,http://download.iptime.co.kr/online_upgrade/n104p_kr_9_984.bin,2016-12-21 04:29:36+00:00,2080768,b9de264cfbc1abb3dc1c5254ebca9377ab22aa30,df9fb5a0792b8cf48e9a7972b157a646
ipTIME N104K,9.98.4,n104k_kr_9_984.bin,http://download.iptime.co.kr/online_upgrade/n104k_kr_9_984.bin,2016-12-21 04:29:37+00:00,2080768,9a3dcefdd455817395f850e22ab23f6fbf62d701,19f275fea5a65750295c4994526b402a
ipTIME mini3,9.98.4,mini3_kr_9_984.bin,http://download.iptime.co.kr/online_upgrade/mini3_kr_9_984.bin,2016-12-21 04:29:39+00:00,2871296,0274c10134ed96bd110ed6586ce5adf3254508d4,49b41b5d3ef3d8f61b89d66a933a3240
ipTIME N704V3,9.98.4,n704v3_kr_9_984.bin,http://download.iptime.co.kr/online_upgrade/n704v3_kr_9_984.bin,2016-12-21 04:30:01+00:00,4120632,998241783065f366ab9d24183037187fedc27175,7dd5621dc6d97e8971e7040060ee0de9
ipTIME N704BCM,9.98.4,n704bcm_kr_9_984.bin,http://download.iptime.co.kr/online_upgrade/n704bcm_kr_9_984.bin,2016-12-21 04:30:00+00:00,4120632,0cfe3043e77b7884c8f793a91effd0cd6428ba90,4e9b58f483cd2158b2f533f46f4d2b79
ipTIME N702BCM,9.98.4,n702bcm_kr_9_984.bin,http://download.iptime.co.kr/online_upgrade/n702bcm_kr_9_984.bin,2016-12-21 04:29:58+00:00,4120632,48932b7eb6e03e6c8d29bfea17be6e6a2f967be0,bf5cd47dc1053d02baba6e34f22649f9
ipTIME N604S,9.98.4,n604s_kr_9_984.bin,http://download.iptime.co.kr/online_upgrade/n604s_kr_9_984.bin,2016-12-21 04:29:59+00:00,4116536,80d5765088938b0606b31f3c930deb5bf46652c7,b13ee492ff9635b44f363756ef821f94
ipTIME N604A,9.98.4,n604a_kr_9_984.bin,http://download.iptime.co.kr/online_upgrade/n604a_kr_9_984.bin,2016-12-21 04:29:59+00:00,4116536,170306d6d0843f83cf5501f8c79e45ed35703731,73f49112caed184b9e81c612319bf27c
ipTIME N104S-r1,9.98.4,n104sr1_kr_9_984.bin,http://download.iptime.co.kr/online_upgrade/n104sr1_kr_9_984.bin,2016-12-21 04:29:56+00:00,4059192,9a2e9c151760482fd2f5fd556bf1e8a90de66751,bc7ae7b663bb724df85667665e87f915
ipTIME EW302N,9.98.4,ew302_kr_9_984.bin,http://download.iptime.co.kr/online_upgrade/ew302_kr_9_984.bin,2016-12-21 04:29:57+00:00,4120632,e6c9076c75c5414c7e37dddae2e31c308073338d,ffde67d924ec1f5ed89ed063b1d550bc
