model,rev,fw_ver,fw_url,date,fsize,sha1,md5
ALL,DAP-2553,1.25,ftp://ftp.dlink.ca/PRODUCTS/DAP-2553/DAP-2553_FIRMWARE_1.25.BIN,2013-05-01 00:00:00,,6cd18f8ef6098f95d5dab00cc836aed181598ccb,bd75052ea25af688b5f7bcf92a50612a
B,DAP-2360,2.07RC043,ftp://ftp.dlink.ca/PRODUCTS/DAP-2360/DAP-2360_REVB_FIRMWARE_2.07RC043.bin,2016-03-31 00:00:00,,04466481cc4aa1efbf120ff7ebc21f3891dca616,7211f5371ce53e500512a9c443428d06
ALL,DAP-2555,1.20,ftp://ftp.dlink.ca/PRODUCTS/DAP-2555/DAP-2555_FIRMWARE_1.20.BIN,2013-05-01 00:00:00,,d7f9d433e5243d2bef7956813a988dc9281b5564,825aeae41ef97f6312d815e87cdd8210
ALL,DAP-2565,1.00,ftp://ftp.dlink.ca/PRODUCTS/DAP-2565/DAP-2565_FIRMWARE_1.00.BIN,2013-05-01 00:00:00,,4dfd6661c8728929bfc478656d227e3e7fb27a1d,2992fd565578033e1ea9511a62532be2
ALL,DAP-2590,1.25,ftp://ftp.dlink.ca/PRODUCTS/DAP-2590/DAP-2590_FIRMWARE_1.25.BIN,2013-05-01 00:00:00,,80c3f150c5a7fefbbdaa4e6c445d382ea6686084,99b7e50ad111c0800676ce57b1c09810
A,DAP-2660,1.13RC074,ftp://ftp.dlink.ca/PRODUCTS/DAP-2660/DAP-2660_REVA_FIRMWARE_1.13RC074.bin,2016-03-31 00:00:00,,212938749ea1717ba06c4ae05bc027c70fe4ae43,deac1a3850829188a0ba95f03f6712cf
ALL,DAP-3520,1.03,ftp://ftp.dlink.ca/PRODUCTS/DAP-3520/DAP-3520_FIRMWARE_1.03.BIN,2013-05-01 00:00:00,,a207259821b6c1082300105768ffac15e5c4aed2,8de844c0dddea7a6691d884dd5038942
A,DAP-2695,1.17RC063,ftp://ftp.dlink.ca/PRODUCTS/DAP-2695/DAP-2695_REVA_FIRMWARE_1.17RC063.bin,2016-03-31 00:00:00,,b810407e3237aef28d00b19c5c1edbf7cd9b3a2a,91b096915333639cf7b5a76165269f8a
ALL,DAP-3525,1.11,ftp://ftp.dlink.ca/PRODUCTS/DAP-3525/DAP-3525_FIRMWARE_1.11.BIN,2013-05-01 00:00:00,,883b863edb4e311b831c450ed5592b64fa7522c9,011b50a3fb5776e86e386f19108137a1
A,DAP-3662,1.02RC031,ftp://ftp.dlink.ca/PRODUCTS/DAP-3662/DAP-3662_REVA_FIRMWARE_1.02RC031.bin,2016-04-20 00:00:00,,7b0d16a4fe88429643eb27777a0a256c85a0c52b,818947101dc3ea1a1683acae797d495a
ALL,DAP-3690,1.10RC064,ftp://ftp.dlink.ca/PRODUCTS/DAP-3690/DAP-3690_REVA_FIRMWARE_1.10.RC064.ZIP,2015-01-01 00:00:00,,225cb4ec925e70ddc522c226bc0f9029f7abae51,2c6f13fcab36d2d16757f9cea2be506e
A,DCH-M225,1.05,ftp://ftp.dlink.ca/PRODUCTS/DCH-M225/DCH-M225_REVA_FIRMWARE_105.BIN,2016-03-11 00:00:00,,cfcaed17746a50d3b39daabf606168bc414876df,631dfd1eb1ed613d86014836e370d2e4
ALL,DCS-1000,1.30,ftp://ftp.dlink.ca/PRODUCTS/DCS-1000/DCS-1000_FIRMWARE_1.30.BIN,2013-05-01 00:00:00,,976c5c7c75e2be2502a31e0dc0b47529cd6adb23,221612bed1bb99c4bac8b846103a34f2
A,DCS-1000w,1.30,ftp://ftp.dlink.ca/PRODUCTS/DCS-1000W/DCS-1000W_REVA_FIRMWARE_1.30.BIN,2013-05-01 00:00:00,,15292e4d5f7178445647b6d37500917b8f612036,9dbd26acdb96772ab7c6dd61eac41b2c
ALL,DCS-2120,1.03,ftp://ftp.dlink.ca/PRODUCTS/DCS-2120/DCS-2120_FIRMWARE_1.03.PKG,2013-05-01 00:00:00,,4344b8a278b7a1060db8d7db10c7547239fbaf0f,1f67b9b52c4a969ec9413721a5ffe0d5
ALL,DCS-1130,1.08,ftp://ftp.dlink.ca/PRODUCTS/DCS-1130/DCS-1130_REVA_FIRMWARE_1.08.BIN,2015-04-22 00:00:00,,badee631061e1dd9b7bf84f4a12ddeec31a5abd2,08157e1a54c2c23a177c84a808fca25e
A,DCS-2132L,1.07,ftp://ftp.dlink.ca/PRODUCTS/DCS-2132L/DCS-2132L_REVA_FIRMWARE_1.07.01.BIN,2015-10-09 00:00:00,,4dba2b44024fd444616baf99f19ebf3f8ddde56c,3d1c94e99facf4d00ec2ec54ca4d7be3
B,DCS-2132L,2.13,ftp://ftp.dlink.ca/PRODUCTS/DCS-2132L/DCS-2132L_REVB_FIRMWARE_2.13.03.BIN,2016-10-03 00:00:00,,ae565a21a5df8da470e1b48c164dc77e01905b3e,ff520ea4d25ece54fe7d4650358d7126
ALL,DCS-2210,1.2,ftp://ftp.dlink.ca/PRODUCTS/DCS-2210/DCS-2210_FIRMWARE_1.20.ZIP,2013-06-26 00:00:00,,ed0fe091bfc58264c1d7f841409248116c2410e4,e95a7f344f148de38929df98d039c5d4
A,DCS-2136L,1.03,ftp://ftp.dlink.ca/PRODUCTS/DCS-2136L/DCS-2136L_REVA_FIRMWARE_1.03.00.BIN,2015-10-15 00:00:00,,d1bf7e9c06c2eb8b3ad37712610d603197f9dc6c,ab54530300e6f215a7b45dab31f4cede
ALL,DCS-2230,1.2,ftp://ftp.dlink.ca/PRODUCTS/DCS-2230/DCS-2230_FIRMWARE_1.20.ZIP,2013-06-26 00:00:00,,b28d0b252527644463b43c3371024501df8362ad,13b40a5cc106854c110b994d143f9329
