model,fw_ver,fileName,fw_url,fw_date,fileSize,sha1,md5
NTV550,3.2.16,NTV550 Firmware Version 3.2.16.zip,http://www.downloads.netgear.com/files/GDC/NTV550/NTV550 Firmware Version 3.2.16.zip,2012-04-17 01:29:53+00:00,59586422,8911508121cc17671f75da226de9a8ffbc843360,1655c9e65ddcdfa240620f929b1a2db2
PTV3000,2.4.03,PTV3000_V2.4.3.zip,http://www.downloads.netgear.com/files/GDC/PTV3000/PTV3000_V2.4.3.zip,2013-08-07 11:52:09+00:00,20251375,fa8f49b82783b1f73f232d228b841871b9c13adc,2f3f7cbe9f29968aeb7ed66d200f0df8
PTV3000,2.2.15,PTV3000_V2.2.15.zip,http://www.downloads.netgear.com/files/GDC/PTV3000/PTV3000_V2.2.15.zip,2013-04-10 16:27:33+00:00,21822052,f0927d3ebe1fde728c03966cac1f832e28f24864,91940679e3e6890f299f42d4bd72947d
PTV3000,2.4.26,PTV3000_V2.4.26.sbin,http://www.downloads.netgear.com/files/GDC/PTV3000/PTV3000_V2.4.26.sbin,2013-11-05 02:58:44+00:00,21627760,c46a0b052b9ec1688668a91adb398ccf5d322a4a,abd617ea9c4eac2502eddfea4a33d9f5
PTV3000,2.4.19,PTV3000_V2.4.19.zip,http://www.downloads.netgear.com/files/GDC/PTV3000/PTV3000_V2.4.19.zip,2013-10-11 12:33:51+00:00,20906444,a40cfc3a4ec11b770dfa9efe94290c8f64a5b89d,d378c87a5e1cb12a04d43b16f6286f5a
PTV3000,2.2.12,PTV3000_V2.2.12.zip,http://www.downloads.netgear.com/files/GDC/PTV3000/PTV3000_V2.2.12.zip,2013-04-06 14:31:52+00:00,22081134,5f8e536536a1012f5d92bd0bff61a370441c2fc7,5985ccde7360b0872992bbffbac5ad33
PTV3000,2.2.16,PTV3000-V2.2.16.zip,http://www.downloads.netgear.com/files/GDC/PTV3000/PTV3000-V2.2.16.zip,2013-06-13 15:54:27+00:00,21691975,6a95c7b9cc1f419ae68f6b81c530c7a142138b71,245ea6682cf1a3788f8d556c0a61a3bf
PTV3000,2.4.38,PTV3000_V2.4.38.sbin,http://www.downloads.netgear.com/files/GDC/PTV3000/PTV3000_V2.4.38.sbin,2014-03-05 06:37:59+00:00,25953136,31eb4fa7df4329d67714d3bd90ee1dd1aa98b23a,fa39a934461a6aaf6d7c801efa557f76
PTV3000,2.4.49,PTV3000_V2.4.49.sbin,http://www.downloads.netgear.com/files/GDC/PTV3000/PTV3000_V2.4.49.sbin,2014-08-12 10:11:13+00:00,27263856,7484843a49af689a6916dfed199a37e5d78fd052,9b7e11ccf7c22b00dd6a1f613344af6f
PTV3000,2.4.46,PTV3000_V2.4.46.sbin,http://www.downloads.netgear.com/files/GDC/PTV3000/PTV3000_V2.4.46.sbin,2014-05-13 09:05:41+00:00,26084208,5e29041fdae05ccd9efbb01d4100d4ae5a0ac4e9,3b8c99cca6ecc6aff0238a5a476e5fc6
