model,fver,furl,fname,fdate,fsize,sha1,md5
DS1513+,6.1-15047,https://global.download.synology.com/download/DSM/release/6.1/15047/DSM_DS1513%2B_15047.pat,DSM_DS1513%2B_15047.pat,2017-02-21 00:00:00,212080640,9c4220d70e9b00b2307525e566e9572a632e6ef2,368fe959bdbbb6aeacf6de6b13798c9f
DS1515+,6.1-15047,https://global.download.synology.com/download/DSM/release/6.1/15047/DSM_DS1515%2B_15047.pat,DSM_DS1515%2B_15047.pat,2017-02-21 00:00:00,223488000,41cb5acf346c3b0d6fee02f443ee6afbfa054160,5f74559d14f3bbb14850b900001fb836
DS1010+,5.2-5967,https://global.download.synology.com/download/DSM/release/5.2/5967/DSM_DS1010%2B_5967.pat,DSM_DS1010%2B_5967.pat,2016-04-28 00:00:00,195194880,fa220863dcf96c6fdac0fcd68527df0e72df12c7,d182d115d1617f53fc6011cbe4a9f7f8
VS360HD,4.1.0-4207,https://global.download.synology.com/download/VSF/release/4.1/4207/VS360HD_4207.pat,VS360HD_4207.pat,2017-01-18 00:00:00,69652480,5ae02bf9b5f3953fbd7360d8d1dcfe805bc4b64e,2fc597ee2dc47726f866e106b897aab2
RS2211+,6.1-15047,https://global.download.synology.com/download/DSM/release/6.1/15047/DSM_RS2211%2B_15047.pat,DSM_RS2211%2B_15047.pat,2017-02-21 00:00:00,199925760,59eab4cb092157e33dc1c7bfd2bbbdeae38284f0,4fb09e51e1ecc33ce35bcbc163feb046
DS1812+,6.1-15047,https://global.download.synology.com/download/DSM/release/6.1/15047/DSM_DS1812%2B_15047.pat,DSM_DS1812%2B_15047.pat,2017-02-21 00:00:00,212080640,6bd4d185ff0361e51b2b8e0653598f09de50cbb8,2bebce97e40ded2b123d2e3f907adc30
DS1813+,6.1-15047,https://global.download.synology.com/download/DSM/release/6.1/15047/DSM_DS1813%2B_15047.pat,DSM_DS1813%2B_15047.pat,2017-02-21 00:00:00,212101120,2e00fb0eb86bb468f626f953a6a1a7a1028c2f3a,4f4373bd61bf38b22d1ab4d9b02a3ea2
RS3617xs+,6.1-15047,https://global.download.synology.com/download/DSM/release/6.1/15047/DSM_RS3617xs%2B_15047.pat,DSM_RS3617xs%2B_15047.pat,2017-02-21 00:00:00,226754560,e64799bc9f85b3c73cb3b399a72918c051079b8d,40b9e8067897204a116c4f4aa4fea31b
RS2211RP+,6.1-15047,https://global.download.synology.com/download/DSM/release/6.1/15047/DSM_RS2211RP%2B_15047.pat,DSM_RS2211RP%2B_15047.pat,2017-02-21 00:00:00,199925760,b2405eed5bc0a01093f0a9f5b26390c007726d22,192af8a7c709c646604214692b528185
RS2416RP+,6.1-15047,https://global.download.synology.com/download/DSM/release/6.1/15047/DSM_RS2416RP%2B_15047.pat,DSM_RS2416RP%2B_15047.pat,2017-02-21 00:00:00,223488000,6a26cf1ae7b3209307e6a4d7b9204b15ef8f3680,beafe22a6b7d4bea9cc94a677f96a038
DS2015xs,6.1-15047,https://global.download.synology.com/download/DSM/release/6.1/15047/DSM_DS2015xs_15047.pat,DSM_DS2015xs_15047.pat,2017-02-21 00:00:00,181903360,b8e7a3a2b4c4152ea454a717519ee525071b0da9,410d551f2b349eb817702ecdb46749dd
RS3617RPxs,6.1-15047,https://global.download.synology.com/download/DSM/release/6.1/15047/DSM_RS3617RPxs_15047.pat,DSM_RS3617RPxs_15047.pat,2017-02-21 00:00:00,226785280,cbeb0020a6031aaf05760da85cf2ecfe0f5870d4,fad307512119ab90b289f768a44a819f
VS80,1.3-0316,https://global.download.synology.com/download/VSF/release/1.3/0316/VS80_0316.pat,VS80_0316.pat,2013-02-07 00:00:00,16076800,556060be659e7b7c2cea55ceb93bfe34e38e0964,708282b955bdd1e4964fecb7b804edcb
