model,fw_ver,fw_url,file_size,file_date,file_sha1,file_md5
,,ftp://ftp.dlink.eu/Products/dp/dp-300plus/archive/driver_software/DP-300p.zip,178234,2014-12-09 00:00:00,56d8f7644a3105b7666cf29613564b25987c1b97,53cdc3826bce58f2f8456f9fa2c203fb
,,ftp://ftp.dlink.eu/Products/shareport installer v1/shareport installer v1/driver_software/SharePort Installer v1_sw_119-MacOS_all_multi_20140417.zip,2291552,2014-12-09 00:00:00,f6be3688ceab15a330530a085df1682cf0361b1d,ddc387702fc998f5663b72ac4274e697
,,ftp://ftp.dlink.eu/Products/d/d-viewcam/driver_software/D-ViewCam_sw_1-6-7_eu_multi_20150521.zip,9848875,2015-07-02 00:00:00,75e67d708faace50401381ecab484f027220c31e,9c4a10939e9f695f670f01c0b2d1fcff
,,ftp://ftp.dlink.eu/Products/d/d-viewcam/driver_software/D-ViewCam_sw_1-6-6_eu_multi_20150514.zip,9822949,2015-07-02 00:00:00,502836cdda414699d116cff56cadac27525ca373,8466cd709cd400b87b9de7be80c3077d
,,ftp://ftp.dlink.eu/Products/d/d-link/driver_software/D-LINK_sw_revA2_1-2-0-0_all_en-test_130527.zip,18233279,2014-12-08 00:00:00,891434ef4b9b54ffbfd992f8ca16689db22bf1c6,26c9f062cbab0db71bdfb8e8488c4dbc
,,ftp://ftp.dlink.eu/Products/d/d-viewcam device pack/driver_software/D-Viewcam Device pack_sw_3.6.3_DP_1-6-1_all_multi_20141020.zip,107469998,2014-12-15 00:00:00,daa86ed20e4b7dd4572b25b2d07757f8c18c8ead,a4ee0b3f92511cf3a51f145707660366
,,ftp://ftp.dlink.eu/Products/dna/dna/driver_software/DNA_sw_2-0-1-9_all_en_20140825.zip,1381540,2014-12-23 00:00:00,3258376c10fe500e74968084698efe78c4c227f3,5e5bca08b01e040f0d33aa55c5b49b4d
,,ftp://ftp.dlink.eu/Products/d/d-link/driver_software/D-Link_drv-mac_revD1_2-6-4-0_eu_multi_20140828.zip,3972409,2014-12-08 00:00:00,e49777f771473e43ac49704ff979e8b14622fb65,2e2f216f2d4607d08606fd92e1a3b092
,,ftp://ftp.dlink.eu/Products/dap/dap-3662-aparraytool/driver_software/DAP-3662-APArrayTool_sw_1-00-rc07_eu_en_20150319.zip,729731,2015-05-13 00:00:00,82187f24685526bfcbc32ae4f42b077cba5c0eab,be70f89a1899fe7ec7686fd1eca0d8d1
,,ftp://ftp.dlink.eu/Products/dwl/@archive/dwl-650/archive/driver_software/DWL-650.zip,1997750,2014-12-09 00:00:00,ec79456d415de69fe3ce4ef7f5b8f24373d4b2ae,9fe36952173c590028eff837ba0e993c
